feature,f-score,odds-ratio,statistical-power,probability-ratio,gini-index,kolmogorov-smirnov,geometric-mean,auc,auprc,mutual-info,deviance,matthews-correlation-coefficient
GENE1835X,0.44660194174757273,5.7894736842105265,0.23407828555633348,3.130434782608696,0.35853327297419646,0.20833333333333337,0.5592869856944195,0.5241545893719807,0.2589481224131761,-187.2604594886878,253.83034814963094,0.24473625259314022
GENE1836X,0.4126984126984127,14.947368421052632,0.6480158274182265,12.521739130434783,0.35853327297419646,0.248792270531401,0.5943575267170572,0.5307971014492754,0.32904156965170683,-184.71087037771355,253.42721478384252,0.3595443915162913
GENE1865X,0.41071428571428575,2.4705882352941178,0.2923089768436177,2.0869565217391304,0.36962426437301943,0.176328502415459,0.5877164520577279,0.563707729468599,0.26629376588974535,-188.98789278188573,253.30441202043204,0.15961059951726536
GENE1380X,0.4999999999999999,4.55,0.404190885190514,3.130434782608696,0.35853327297419646,0.34299516908212563,0.6630335787650942,0.6020531400966184,0.34382861101982753,-187.1166717409958,251.42870204081635,0.3190415178207018
GENE1933X,0.4871794871794872,10.65,0.5147414525440706,9.391304347826088,0.36962426437301943,0.32608695652173914,0.6524757755512149,0.6705917874396136,0.3926664383367857,-185.94332245779307,252.71928426428508,0.2829125760578692
GENE1932X,0.44660194174757273,5.7894736842105265,0.3130628952745012,3.130434782608696,0.35853327297419646,0.21497584541062803,0.5731513024140634,0.5839371980676329,0.3107832250583159,-187.2604594886878,253.53115346625952,0.24473625259314022
GENE1931X,0.41463414634146345,6.761904761904762,0.404190885190514,6.260869565217392,0.36962426437301943,0.1557971014492754,0.5549513622766896,0.5631038647342995,0.3084281582352551,-187.03848591594746,253.87951111111107,0.20650304278153755
GENE1930X,0.4210526315789474,6.761904761904762,0.3714390508231942,6.260869565217392,0.3496357960457856,0.21618357487922701,0.601929265428846,0.5410628019323671,0.32599580119866445,-186.62204925450828,252.67109138724524,0.25946325003864634
GENE3129X,0.42857142857142855,3.5483870967741935,0.2024194058064541,1.8414322250639386,0.36962426437301943,0.23007246376811596,0.6079187588743289,0.5537439613526569,0.2641271031596878,-188.45736207231954,252.53321049870573,0.20698648750487353
GENE3126X,0.42696629213483145,2.5641025641025643,0.09302677986155897,1.4347826086956523,0.36962426437301943,0.17330917874396135,0.5646597025732799,0.5434782608695652,0.24547591579292943,-190.28045080056268,253.42448979591836,0.16120583734954474
GENE0X,0.4220183486238532,6.761904761904762,0.2979204610355637,6.260869565217392,0.35853327297419646,0.18176328502415462,0.5815189173257647,0.5199275362318841,0.27605666536128826,-187.03848591594746,253.70152788776596,0.18283936271530682
GENE3115X,0.4190476190476191,4.4,0.3105589418948489,3.130434782608696,0.35853327297419646,0.1654589371980677,0.5467294060851866,0.5760869565217391,0.2753823341462399,-187.2604594886878,253.70706371191136,0.1849049912823042
GENE3116X,0.4761904761904762,10.65,0.4578409523991627,9.391304347826088,0.35853327297419646,0.30495169082125606,0.6524757755512149,0.602657004830918,0.3642166016850311,-186.3602589467747,253.30441202043204,0.2645756498318962
GENE3117X,0.4262295081967213,6.761904761904762,0.2979204610355637,6.260869565217392,0.35853327297419646,0.21799516908212563,0.6074218901694314,0.5111714975845412,0.27291926715350945,-187.03848591594746,253.53115346625952,0.1906109340524679
GENE3118X,0.41509433962264153,6.761904761904762,0.2979204610355637,6.260869565217392,0.35853327297419646,0.1092995169082126,0.5327442398757334,0.48339371980676327,0.24606672393755857,-187.03848591594746,257.7809580498866,0.18248971940174205
GENE3073X,0.4181818181818182,6.761904761904762,0.2979204610355637,6.260869565217392,0.36962426437301943,0.11111111111111116,0.5461768749626456,0.5117753623188406,0.2660355609646427,-187.03848591594746,253.83034814963094,0.17897841719611388
GENE3072X,0.4329896907216494,5.7894736842105265,0.17378184240520733,2.0869565217391304,0.36962426437301943,0.17693236714975846,0.5809994720078753,0.5670289855072463,0.261642343889784,-188.27201341407246,253.42721478384252,0.18869437059056682
GENE3067X,0.475,5.934782608695652,0.19929189603475128,3.130434782608696,0.35853327297419646,0.29830917874396135,0.6245771516454056,0.567632850241546,0.26352424004044467,-187.2604594886878,253.30441202043204,0.2608360150191666
GENE3068X,0.42592592592592593,6.761904761904762,0.4236134626280577,6.260869565217392,0.35853327297419646,0.17149758454106281,0.5516772843673705,0.5335144927536233,0.31052549009122177,-186.68651578250052,253.70152788776596,0.21683210828805186
GENE3069X,0.43396226415094347,4.4,0.2625219681659304,3.130434782608696,0.36962426437301943,0.16666666666666666,0.5646597025732799,0.5054347826086957,0.24539280565532567,-187.746012441157,257.92828562634656,0.2149063492682878
GENE2584X,0.4070796460176991,3.227272727272727,0.21495304353689498,3.130434782608696,0.35853327297419646,0.08393719806763289,0.5299029170039313,0.5051328502415459,0.23966249661989494,-187.2604594886878,265.9760695598646,0.18248971940174205
GENE3070X,0.4835164835164836,12.434782608695652,0.4236134626280577,6.260869565217392,0.3496357960457856,0.31763285024154597,0.620211121916394,0.6259057971014494,0.3729053022949653,-186.62204925450828,253.02051667020976,0.3016610507792123
